internal_id,en,ru,ua
student_disclaimer,"<strong>We kindly ask you to carefully read our rules before signing up for Samantha’s courses.</strong>\n\nYou are eligible for our free-of-charge courses if you are originally from Ukraine.\n\nPlease consider the urgency of the language learning for you. Our resources are limited and we strive to help people from Ukraine who suffered from the war that started on 24 February 2022 who are currently residing in either Ukraine or other countries.\n\nWe will not be able to help you with regular classes if your level of English is B2 or higher and you have been integrated into your new country of residence. Thank you for understanding!\n\n<strong>By tapping ""Next"" you confirm that you are from Ukraine and you need English classes.</strong>","<strong>Пожалуйста, ознакомьтесь с условиями записи на наши курсы.</strong>\n\nЕсли вы из Украины, и вам необходим иностранный язык, вы можете зарегистрироваться на наши бесплатные курсы.\n\nМы просим вас быть осознанными и оценить, насколько изучение иностранного языка является для вас критичным сейчас, так как ресурс нашего проекта ограничен. Это позволит нам оперативно помогать украинцам, пострадавшим от войны, начавшейся 24 февраля 2022 года, и проживающим за границей и в Украине.\n\nК сожалению, мы не имеем возможности помогать людям, которые уже уверенно владеют языком (уровень B2 и выше) и интегрировались в другой стране. Пожалуйста, имейте в виду, что в этих случаях мы вправе отказать вам в занятиях. Спасибо вам за понимание!\n\n<strong>Нажимая «Далее», я подтверждаю, что я из Украины и мне необходимо изучать иностранный язык.</strong>","<strong>Просимо вас уважно ознайомитися з умовами запису на наші курси.</strong>\n\nЯкщо ви з України, і вам необхідна іноземна мова, ви можете зареєструватися на наші безкоштовні курси.\n\nНаш рух допомагає усім постраждалим від війни українцям, які були вимушені покинути свої домівки після 24 лютого 2022 року, а також тим, хто все ще залишається в Україні.\n\nНа жаль, ми не маємо можливості допомагати людям, які вже впевнено володіють мовою (рівень B2 і вище) й інтегрувалися в іншій країні. Будь ласка, майте на увазі, що в цих випадках ми маємо право відмовити вам у заняттях.\n\nМи просимо вас бути свідомими і оцінювати, наскільки критичним для вас є вивчення іноземної мови зараз, так як ресурс нашого проєкту обмежений.\n\nДякуємо за розуміння!\n\n<strong>Натискуючи «Далі», я підтверджую, що я з України і мені необхідно вивчати іноземну мову.</strong>"
teacher_disclaimer,"<strong>What do you need to know about volunteering with us?</strong>\n\n✦ Our teachers must be confident english speakers with B2+ level and be ready to give online classes two times a week <strong>for at least 4 months</strong>\n\n✦ If you do not have teaching experience but you have good command of English and some free time, join us! We provide methodological support and you can seek advice from our amazing community\n\n✦ We ask our teachers to reply to coordinators at least once a day if any organizational matters need to be addressed\n\n✦ If your schedule is not consistent with providing regular classes, you can join us as a Speaking Club teacher or help with methodological support if you can do it. Please leave a relevant comment to your application regarding the same.\n\nWe will be thrilled to welcome you as our volunteer!\n\n<strong>Please tap Next if you are willing to volunteer with us.</strong>","<strong>Что важно знать о волонтерстве с нами?</strong>\n\n✦ Нашим учителям необходимо знать язык на уверенном уровне (B2+) и быть готовыми проводить занятия онлайн для группы студентов два раза в неделю <strong>минимум 4 месяца</strong>.\n\n✦ Если у вас нет опыта преподавания, но вы хорошо знаете язык и у вас есть время, — присоединяйтесь! В движении действует методическая поддержка, и вы всегда сможете спросить совета у более опытных коллег.\n\n✦ Мы просим наших учителей быть на связи хотя бы раз в день, если нужно решить организационные вопросы с координатором и студентами.\n\n✦ Если ваш график не позволяет регулярно заниматься с группой, вы можете вести у нас разговорные клубы, стать учителем на замену или помогать с методической поддержкой. Укажите это, пожалуйста, в комментариях к вашей заявке.\n\nЕсли вы чувствуете в себе желание и силы присоединиться, — мы будем рады видеть вас в нашей команде волонтеров!\n\n<strong>Нажмите «Далее», если вы готовы волонтерить с нами.</strong>","<strong>Що важливо знати про волонтерство разом з нами?</strong>\n\n✦ Нашим вчителям необхідно знати мову на впевненому рівні (В2+) та бути готовими проводити заняття онлайн для групи студентів два рази на тиждень <strong>мінімум 4 місяці</strong>.\n\n✦ Якщо у вас немає досвіду викладання, але ви добре знаєте мову і у вас є час, - приєднуйтеся! У нашому русі діє методична підтримка, і ви завжди зможете запитати поради у більш досвідчених колег.\n\n✦ Ми просимо наших вчителів бути на зв'язку хоча б один раз на день, якщо необхідно вирішити організаційні питання з координатором та студентами.\n\n✦ Якщо ваш графік не дозволяє регулярно займатися з групою, ви можете вести в нас розмовні клуби, стати вчителем на заміну або допомагати з методичною підтримкою. Вкажіть це, будь ласка, в коментарях до вашої заявки.\n\nЯкщо ви маєте бажання та сили приєднатися до нас - ми будемо раді бачити вас в нашій команді волонтерів.\n\n<strong>Натисніть «Далі», якщо ви готові волонтерити з нами</strong>."
disclaimer_option_ok,Continue,Далее,Далi
disclaimer_option_abort,Quit,Отменить регистрацию,Перервати реєстрацію
ask_age,"How old are you? We don't need your exact age, just choose the age group so we can find the best group for you","Сколько вам лет? Выберите из вариантов ниже, чтобы мы могли подобрать группу, которая подойдёт вам лучше всего","Скільки вам років? Виберіть із варіантів нижче, щоб ми могли підібрати групу, яка підійде вам найкраще"
ask_if_18,Are you 18 or older?,Вам уже исполнилось 18?,Вам вже виповнилося 18 років?
ask_if_over_16_and_can_host_speaking_clubs,"Unfortunately, teachers in our groups must be at least 18 years old. However, if you are 16 or older, you can host Speaking Clubs","К сожалению, вести занятия в Samantha's Group могут только преподаватели старше 18 лет. Но если вам уже исполнилось 16, вы можете вести разговорные клубы.","На жаль, вести заняття в Samantha's Group можуть тільки викладачі, старші за 18 років. Але якщо вам уже виповнилося 16, ви можете вести розмовні клуби."
option_young_teacher_under_16,I am younger than 16,Мне меньше 16 лет,Мені менше 16 років
option_young_teacher_over_16_but_no_speaking_club,I am old enough but won't host Speaking Clubs,"Мне уже есть 16, но я не хочу вести разговорные клубы","Мені вже є 16, але я не хочу вести розмовні клуби"
option_young_teacher_over_16_and_ready_for_speaking_club,I am 16 and I'm ready to host Speakinbg Clubs,"Мне есть 16, и я готов(а) вести разговорные клубы","Мне вже є 16 років, і я готов(а) вести розмовні клуби"
reply_cannot_work,"Unfortunately, we will not be able to work with you. Thank you for your time!","Очень жаль, но наше волонтерское движение не сможет сотрудничать с вами. Спасибо за желание и уделённое время!","Дуже шкода, але наш волонтерський рух не зможе співпрацювати з вами. Дякуємо за бажання і приділений час!"
ask_last_name,"Please, provide your pseudonym that will be used instead of your last name ✎","Сообщите, пожалуйста, ваш псевдоним, который мы будем использовать вместо вашей фамилии ✎","Повідомте, будь ласка, ваш псевдонім (замість вашого прізвища) ✎"
ask_source,How did you find out about Samantha Smith's Group?,Откуда вы узнали о Samantha Smith's Group?,Звідки ви дізналися про Samantha Smith's Group?
ask_username_1,We can store your username,Я могу сохранить ваш ник в Telegram,Я можу зберегти ваш нік в Telegram
ask_username_2," so that you don't have to give us your phone number. In this case, please make sure you don't change your username while you're with us.",", чтобы вам не пришлось сообщать мне ваш номер телефона. В этом случае я попрошу вас не менять ваш ник в Telegram, пока вы занимаетесь в Samantha (или сотрудничаете с Samantha).",", щоб вам не довелося повідомляти мені ваш номер телефону. У цьому разі я попрошу вас не змінювати ваш нік у Telegram, поки ви займаєтеся ( або співпрацюєте з Samantha) у Samantha."
username_reply_yes,please store my username,"Да, сохрани мой ник","Так, збережи мій нік"
username_reply_no,I'll provide my number,Я лучше дам свой номер телефона,Я краще дам свій номер телефону
ask_phone,"Please provide your phone number in <strong>international format</strong> (starting with + or 00). The country code for Ireland is +353, for Ukraine +380. For the full list of country codes, you can consult e.g. <a href=""https://www.internationalcitizens.com/international-calling-codes/"">this website</a>. You can also simply press the button below to send us your current phone number ✎","Пожалуйста, введите номер телефона <strong>в международном формате</strong> (начиная с + или 00). Международный код Ирландии +353, Украины +380. Полный список телефонных кодов стран доступен, например, на <a href=""https://zabor.zp.ua/spravka/kodi_stran.htm"">этом сайте</a>. Вы также можете просто нажать появившуюся кнопку в нижней части экрана, чтобы поделиться со мной своим номером телефона ✎","Будь ласка, введіть номер телефону <strong>в міжнародному форматі</strong> (починаючи з + або 00). Міжнародний код Ірландії +353, України +380. Повний список телефонних кодів країн доступний, наприклад, на <a href=""https://zabor.zp.ua/spravka/kodi_stran.htm"">цьому сайті</a>. Ви також можете просто натиснути кнопку, що з'явилася в нижній частині екрана, щоб поділитися зі мною своїм номером телефону ✎"
share_phone,Tap to share your phone number,"Нажмите, чтобы поделиться своим номером телефона","Натисніть, щоб поділитися своїм номером телефону"
ask_email,Please provide your email ✎,"Пожалуйста, введите адрес своей электронной почты ✎","Будь ласка, введіть адресу своєї електронної пошти ✎"
invalid_email,This doesn't look like a valid email. Please try again.,"Это не очень похоже на адрес электронной почты. Пожалуйста, попробуйте ещё раз.","Це не дуже схоже на адресу електронної пошти. Будь ласка, спробуйте ще раз"
invalid_phone_number,doesn't seem like a valid phone number. Please try again.,"Кажется, это недействительный номер телефона. Пожалуйста, попробуйте ещё раз.","Здається, це недійсний номер телефону. Будь ласка, спробуйте ще раз."
user_already_exists,"A user with this name and contact details already exists. Please contact your coordinator.\n\nIf you already registered with me, you don't have to do it again: just wait until our coordinators find a group for you and contact you.\n\nI am terminating the registration process. Bye for now!","Пользователь с такими данными уже существует. Пожалуйста, свяжитесь со своим координатором.\n\nЕсли вы уже зарегистрировались, повторно регистрироваться не нужно: надо просто подождать, пока координаторы найдут для вас группу и свяжутся с Вами.\n\nЯ завершаю процесс регистрации. До связи!","Користувач із такими даними вже існує. Будь ласка, зв'яжіться зі своїм координатором.\n\nЯкщо ви вже зареєструвалися, повторно реєструватися не потрібно: треба просто почекати, поки координатори знайдуть для вас групу і зв'яжуться з Вами.\n\nЯ завершую процес реєстрації. До зв'язку!"
ask_timezone,What's your time zone? Choose your current time (the number in parentheses shows the difference to UTC) ✎,Выберите ваше текущее время (в скобках указана разница в часах относительно UTC) ✎,Виберіть Ваш поточний час (у дужках вказана різниця в годинах відносно UTC) ✎
ask_timeslots,✎ Which time slots suit you,✎ Какие часы занятий вам подходят,✎ Які години занять вам підходять
ask_slots_0,on Monday,по понедельникам,щопонеділка
ask_slots_1,on Tuesday,по вторникам,щовівторка
ask_slots_2,on Wednesday,по средам,щосереди
ask_slots_3,on Thursday,по четвергам,щочетверга
ask_slots_4,on Friday,по пятницам,щоп'ятниці
ask_slots_5,on Saturday,по субботам,щосуботи
ask_slots_6,on Sunday,по воскресеньям,щонеділі
ask_slots_next,Move on to the next day ➡️,перейти к следующему дню ➡️,перейти до наступного дня ➡️
no_slots_selected,You've selected no slots at all! Let's try again,вы не выбрали подходящего времени для занятий. Давайте попробуем ещё раз,ви не обрали зручний час занять. Давайте спробуємо ще раз
ask_teaching_language_student,What language do you want to learn? Please note that you can only choose <strong>one</strong> language right now. You can add a second language later on through your group coordinator.,Какой язык вы хотите учить? Сейчас вы можете выбрать <strong>только один язык</strong>. Затем при необходимости вы сможете добавить ещё один язык через нашего координатора.,"Яку мову ви хочете вивчати? Зараз ви можете вибрати <strong>тільки одну мову</strong>. Потім, за потреби, ви зможете додати ще одну мову через нашого координатора."
ask_teaching_language_teacher,What language(s) do you want to teach? ✎,Какие языки вы готовы преподавать? ✎,Які мови ви готові викладати? ✎
ask_student_if_can_read_in_english,Can you read in English?,Вы можете читать по-английски?,Ви можете читати англійською?
ask_student_how_long_been_learning_english,How long have you been learning English?,Как долго вы уже изучаете английский?,Як довго ви вивчаєте англійську?
option_less_than_year,Less than a year,Меньше года,Менше року
option_year_or_more,One year or more,Год или больше,Рік і більше
ask_language_level_student,What is your level of,На каком уровне вы знаете,На якому рівні ви знаєте
ask_teaching_language_done,That's it 😊,Всё! 😊,Усе! 😊
ask_language_level_teacher,Which student levels do yo prefer to teach?,Студентам каких уровней вы хотели бы преподавать,Студентам якого рівня ви хотіли б викладати?
ask_teaching_language_level_done,Done with this language ➡️,С этим языком всё ➡️,Із цією мовою все ➡️
ask_class_communication_language_student,What language (apart from the language being learnt) can you communicate in during classes? ✎,"На каком языке (помимо изучаемого) вы можете общаться на занятиях?\n\nЕсли для вас предпочтителен вариант «только на украинском», пожалуйста, имейте в виду, что в связи с ограниченным ресурсом движения подбор украиноязычного преподавателя может занять большее количество времени. ✎","Якою мовою (крім мови, яку ви вивчаєте) ви можете спілкуватися на заняттях?\n\nЯкщо ви віддаєте перевагу варіанту «тільки українською», будь ласка, майте на увазі, що у зв'язку з обмеженим ресурсом нашого руху підбір україномовного викладача може зайняти більшу кількість часу. ✎"
ask_class_communication_language_teacher,"What language (apart from the language you teach) can you communicate in with students during classes? Please note that we are asking about your ability to speak Ukrainian or Russian fluently enough, not about your style of teaching ✎","На каком языке (помимо того, который вы преподаёте) вы можете общаться со студентами на занятиях? Обратите внимание: мы спрашиваем о том, знаете ли вы украинский или русский достаточно хорошо, а не о стиле Вашего преподавания. ✎","Якою мовою (крім тієї, яку ви викладаєте) ви можете спілкуватися зі студентами на заняттях? Зверніть увагу: ми запитуємо про те, чи знаєте ви українську або російську досить добре, а не про стиль вашого викладання. ✎"
class_communication_language_option_ru,In Russian only,только на русском,тільки російською
class_communication_language_option_ua,In Ukrainian only,только на украинском,тільки українською
class_communication_language_option_ru_ua,In Ukrainian or Russian,на украинском или русском,українською або російською
class_communication_language_option_l2_only,Only in the language I teach,только на изучаемом языке,"тільки мовою, яку вивчаю"
ask_student_start_assessment,"OK, now we're ready to begin your our placement test! It will take around 15 minutes. This test will help our coordinators and teachers pick the most suitable group for you.\n\nPlease note that <strong>you will not be able to change your answers</strong>, so pay attention!\n\nPlease press the button to proceed.","Давайте пройдём тест на уровень владения английским! Он займёт около 15 минут и поможет подобрать для вас наиболее подходящую группу.\n\nПожалуйста, учтите, что после того как вы выбрали вариант ответа, <strong>вы не сможете изменить его</strong>.\n\nНажмите кнопку, чтобы продолжить.","Давайте пройдемо тест на рівень володіння англійською! Він займе близько 15 хвилин і допоможе підібрати для вас групу, яка найбільше відповідає вашому рівню.\n\nБудь ласка, врахуйте, що після того як ви вибрали варіант відповіді, <strong>ви не зможете змінити його</strong>.\n\nНатисніть кнопку, щоб продовжити."
assessment_option_start,Let's start!,Начинаем!,Починаємо!
assessment_option_abort,This is too hard 😖 Let's finish,Слишком сложно 😖 Давайте закончим,Надто складно 😖 Давайте закінчимо
ask_student_start_oral_test,"Well done! To get more accurate results and find you a more suitable group for you, we would like to ask you to take a speaking test. It will take around 15 minutes, you will need to go to our partner's website. Are you willing to take the test and increase your chances of getting the right group for you?","Well done! Чтобы ещё точнее определить ваш уровень английского, пройдите устный тест. Он займет ещё 15 минут, зато мы сможем точнee и быстрee подобрать вам группу.","Well done! Щоб ще точніше визначити ваш рівень англійської, пройдіть усний тест. Він займе ще 15 хвилин, зате ми зможемо точніше і швидше підібрати вам групу."
give_smalltalk_url,Please follow the link below and come back to me when you have finished the test. The same link was sent to your email address.,"Пожалуйста, пройдите по ссылке ниже и вернитесь ко мне, когда закончите тест. Эта же ссылка отправлена вам на электронную почту.","Будь ласка, пройдіть за посиланням нижче і поверніться до мене, коли завершите тест. Це ж посилання надіслано вам на електронну пошту."
give_smalltalk_url_link,➡️ Click or tap here to open the link ⬅️,➡️ Нажмите здесь для перехода к устному тесту ⬅️,➡️ Натисніть тут для переходу до усного тесту ⬅️
answer_smalltalk_done,I'm done there! 😎,Я закончил(а) устный тест! 😎,Я завершив/завершила усний тест! 😎
ask_teacher_experience,Do you have teaching experience?,У вас есть опыт преподавания?,Чи є у вас досвід викладання?
ask_teacher_group_speaking_club,Can you give regular classes or host speaking clubs?,вы можете вести обычные занятия или проводить разговорные клубы?,Ви можете вести звичайні заняття або проводити розмовні клуби?
option_teach_group,Only regular classes,Только обычные занятия,Тільки звичайні заняття
option_teach_speaking_club,Only speaking club,Только разговорные клубы,Тільки розмовні клуби
option_teach_both,Both! 💪,"И то, и то! 💪",І те і те! 💪
ask_teacher_number_of_groups,How many groups would you like to teach?,Сколько групп вы бы хотели взять?,Скільки груп ви б хотіли взяти?
option_number_of_groups_1,One for now,Для начала одну,Для початку одну
option_number_of_groups_2,I can take two right away!,Могу взять сразу две!,Могу взяти одразу дві!
ask_teacher_student_age_groups,What age groups would you like to teach?,Ученикам каких возрастов вы бы хотели преподавать? Выберите все подходящие варианты:,Учням якого віку ви б хотіли викладати? Виберіть усі можливі варіанти:
option_young_children,Young children (5 to 8 years old),Дети младшего возраста (от 5 до 8 лет),Діти молодшого віку (від 5 до 8 років)
option_older_children,Older children (9 to 12 years old),Дети постарше (от 9 до 12 лет),Старші діти (від 9 до 12 років)
option_adolescents,Adolescents (13 to 17 years old),Подростки (от 13 до 17 лет),Підлітки (від 13 до 17 років)
option_adults,Adults (18 to 65 years old),Взрослые (от 18 до 65 лет),Дорослі (від 18 до 65 років)
option_seniors,Seniors (66 and older),Пожилые (66 лет и старше),Люди похилого віку (66 років і більше)
ask_non_teaching_help_student,What additional help do you require? Please note that we only provide additional help once you have started to take group classes,"Какая дополнительная помощь может вам понадобиться? Дополнительные виды поддержки будут доступны вам после того, как вы начнёте заниматься в группе.","Яка додаткова допомога вам може знадобитися? Додаткові види підтримки будуть доступні вам після того, як ви почнете займатися в групі."
ask_non_teaching_help_teacher,What additional help can you provide to our students?,Какую дополнительную помощь вы могли бы оказывать нашим студентам?,Яку додаткову допомогу ви могли б надавати нашим студентам?
option_non_teaching_help_cv_write_edit,Help prepare or edit a CV,Помощь с резюме,Допомога з резюме
option_non_teaching_help_cv_proofread,Proofread a CV,Вычитка резюме,Вичитування резюме
option_non_teaching_help_mock_interview,Mock interview,Репетиция собеседования,Репетиція співбесіди
option_non_teaching_help_job_search,Give job search advice,Советы по трудоустройству,Поради щодо працевлаштування
option_non_teaching_help_career_strategy,Career strategy,Карьерная стратегия,Кар'єрна стратегія
option_non_teaching_help_linkedin,LinkedIn profile,Оформление профиля в LinkedIn,Оформлення профілю у LinkedIn
option_non_teaching_help_career_switch,Career switch,Смена профессии,Зміна професії
option_non_teaching_help_portfolio,Help make a creative portfolio,Портфолио для креативных профессий,Портфоліо для креативних професій
option_non_teaching_help_uni_abroad,Advice on college admission outside Ukraine,Поступление в вуз за рубежом,Вступ до вишу за кордоном
option_non_teaching_help_translate_docs,Translate documents,Перевод документов,Переклад документів
option_non_teaching_help_done,Next question ➡️,Следующий вопрос ➡️,Наступне запитання ➡️
option_non_teaching_help_none_student,I don't need any of these,Не нужно ничего из перечисленного,Не потрібно нічого з перерахованого
option_non_teaching_help_none_teacher,I can't help with any of this,Не могу помочь ни с чем из перечисленного,Не можу допомогти ні з чим із перерахованого
ask_teacher_peer_help,How could you help less experienced teachers in their work?,Как вы могли бы помогать менее опытным коллегам?,Як ви могли б допомагати менш досвідченим колегам?
option_teacher_peer_help_can_host_mentoring_sessions,Give one-on-one/group consultations,Консультировать индивидуально или в группе,Консультувати індивідуально або в групі
option_teacher_peer_help_can_help_with_children_group,Help with teaching children,Помочь с детской группой,Допомогти з дитячою групою
option_teacher_peer_help_can_provide_materials,Help with teaching materials,Помочь с материалами,Допомогти з матеріалами
option_teacher_peer_help_can_check_syllabus,Check the syllabus,Проверить программу,Перевірити програму
option_teacher_peer_help_can_give_feedback,Give feedback on a class,Дать фидбэк по уроку,Дати фідбек щодо уроку
option_teacher_peer_help_can_invite_to_class,Invite to my class,Пригласить на свой урок,Запросити на свій урок
option_teacher_peer_help_can_work_in_tandem,Co-teaching,Поработать в тандеме,Попрацювати в тандемі
ask_teacher_peer_help_done,Next question ➡️,Следующий вопрос ➡️,Наступне запитання ➡️
ask_teacher_any_additional_help,Do you have any other skills that you think could help us or our students?,Хотите ли бы вы помочь Samantha или нашим студентам как-то еще?,Чи хотіли б ви допомогти Samantha або нашим студентам якось іще?
ask_teacher_student_age_groups_done,Done 😊,Готово 😊,Готово 😊
ask_review,Now let's quickly review your basic information.,Давайте проверим Ваши основные данные.,Давайте перевіримо Ваші основні дані
review_first_name,Your first name,Ваше имя,Ваше ім'я
review_last_name,Your pseudonym,Ваш псевдоним,Ваш псевдонім
review_username,You allowed to store your Telegram username,Вы разрешили нам сохранить ваш ник в Telegram,Ви дозволили нам зберегти ваш нік у Telegram
review_phone_number,Your phone number,Ваш номер телефона,Ваш номер телефону
review_email,Your email address,Ваш адрес электронной почты,Ваша адреса електронної пошти
review_student_age_group,Your age group,Ваша возрастная группа,Ваша вікова група
review_teacher_age_groups_of_students,Preferred age groups of your students,Возрастные группы ваших студентов,Вікові групи ваших студентів
review_timezone,Your timezone,Ваш часовой пояс,Ваш часовий пояс
review_availability,Your availability slots,Доступное время для занятий,Зручний час для занять
review_languages_levels,Your language(s) and level(s),Вы выбрали язык(и) и уровень/уровни,Ви обрали мову(и) та рівень/рівні
review_communication_language,Your preferred language(s) of communication in class,Язык(и) общения в группе,Мова(и) спілкування в групі
review_reaction_yes,Everything is correct 👍,Всё верно 👍,Усе правильно 👍
review_reaction_no,I need to make corrections,Нужно кое-что поправить,Потрібно дещо виправити
review_ask_category,What information do you wish to change?,Какую информацию нужно исправить?,Яку інформацію потрібно виправити?
review_option_first_name,First name,Имя,Ім'я
review_option_last_name,Last name,Фамилию,Фамілія
review_option_email,Email address,Адрес электронной почты,Адреса електронної пошти
review_option_phone_number,Phone number,Номер телефона,Номер телефону
review_option_student_age_group,Age group,Возрастную группу,Вікову групу
review_option_teacher_age_groups_of_students,Preferred age groups of your students,Возрастные группы ваших студентов,Вікові групи ваших студентів
review_option_timezone,Timezone,Часовой пояс,Часовий пояс
review_option_availability,Availability slots,Доступное время для занятий,Зручний час для занять
review_option_language_and_level,Language(s) and level(s),Язык(и) и уровень/уровни,Мова(и) та рівень/рівні
review_option_class_communication_language,Language(s) of communication in class,Язык(и) общения на занятиях,Мова(и) спілкування на заняттях
current_time,your current time is,сейчас у вас,зараз у вас
ask_final_comment,Is there anything else you want to tell us as a final comment?,"Хотите ли вы сообщить мне еще что-то важное, что я не спросил?","Чи хочете ви повідомити мені ще щось важливе, що я не запитав?"
processing_wait,Processing data. This may take a few minutes...,Обрабатываю данные. Это может занять несколько минут...,Обробляю дані. Це може зайняти декілька хвилин...
student_level_too_high_ask,"What a result! Unfortunately, we cannot provide you with regular classes, but we will be happy to see you in our Speaking Club that will help you improve your spoken English in an informal setting. Are you interested?","Well done, your English is really great!\n\nК сожалению, мы не можем подобрать для вас регулярную группу, но с удовольствием приглашаем в Speaking Club. Это занятия, направленные на практику разговорного английского в комфортной обстановке. Вам это интересно?","Well done, your English is really great!\n\nНа жаль, ми не можемо підібрати для вас регулярну групу, але із задоволенням запрошуємо до Speaking Club. Це заняття, які направлені на практику розмовної англійської в комфортній обстановці. Якщо ви згодні, натисніть «Так»."
student_level_too_high_we_will_email_you,"Great! Within the next few days, we will send you a link to join the group. The link will be sent to you at",Отлично! В течение нескольких дней мы пришлём вам ссылку для вступления в группу на указанный вами адрес электронной почты:,Чудово! Протягом декількох днів ми надішлемо вам посилання для вступу в групу на вказану вами адресу електронної пошти:
young_teacher_we_will_email_you,"Thank you! When we need your help, we will email you at","Спасибо! Когда нам понадобится ваша помощь, мы напишем на указанный вами адрес электронной почты:","Дякую! Коли нам знадобиться ваша допомога, ми напишемо на вказану вами адресу електронної пошти:"
bye_go_to_chat_with_coordinator,Thank you! Please proceed to the chat with our coordinators so they can arrange an interview with the teacher (LINK HERE),"Спасибо! Пожалуйста, перейдите в чат с координатором, который назначит вам устное интервью с преподавателем (LINK HERE)","Дякую! Будь ласка, перейдіть у чат із координатором, який призначить вам усне інтерв'ю з викладачем (LINK HERE)"
bye_wait_for_message_from_bot,Thank you! I will message you here as soon as a group becomes available.,"Спасибо! Как только появится подходящая для вас группа, я напишу вам в этом чате.","Дякую! Щойно з'явиться група, яка відповідає вашому рівню і побажанням, я напишу вам у цьому чаті."
bye_wait_for_message_from_coordinator,Thank you! Our coordinator will contact you on Telegram or by email when they can find a role for you 😊,"Спасибо! Наш координатор свяжется с вами в Telegram или по электронной почте, когда для вас найдётся подходящая задача 😊","Дякую! Наш координатор зв'яжеться з вами в Telegram або електронною поштою, коли для вас знайдеться відповідне завдання 😊"
bye_cancel,You canceled the registration process. Enter /start to start again.,"Вы прервали регистрацию. Введите /start, чтобы начать заново.","Ви перервали реєстрацію. Введіть /start, щоб почати заново."
bye,I am terminating the registration process. Bye!,Я завершаю процесс регистрации. До свидания!,Я завершую процес реєстрації. До побачення!
message_fallback,"Sorry, I don't understand this answer. If you were given some buttons, please press one of them. If you got confused, you can restart the registration process by entering /start.\n\n<strong>For technical support</strong>, please contact","Простите, я не понял этот ответ. Если я только что показал вам кнопки, нажмите одну из них. Если вы запутались, команда /start поможет начать процесс регистрации заново.\n\n<strong>Связь с техподдержкой</strong>:","Вибачте, я не зрозумів цієї відповіді. Якщо я щойно показав вам кнопки, натисніть одну з них. Якщо ви заплуталися, команда /start допоможе почати процес реєстрації заново.\n\n<strong>Технічна підтримка</strong>:"
