internal_id,en,ru,ua
ask_teaching_language_teacher,What language\(s\) do you want to teach\?,Какие языки вы готовы преподавать\?,
ask_student_if_can_read_in_english,Can you read in English?,Вы можете читать по-английски?,
ask_student_how_long_been_learning_english,How long have you been learning English?,Сколько по времени вы уже изучаете английский?,
option_less_than_year,Less than a year,Меньше года,
option_year_or_more,One year or more,Год или больше,
ask_language_level_student,What is your level of,На каком уровне вы знаете,(нужен винительный падеж)
ask_teaching_language_done,That's it 😊,Всё! 😊,
ask_language_level_teacher,Which student levels do yo prefer to teach?,На каких уровнях вы хотели бы преподавать,
ask_teaching_language_level_done,Done with this language ➡️,С этим языком всё ➡️,
ask_class_communication_language_student,What language (apart from the language being learnt) can you communicate in during classes?,"На каком языке (помимо изучаемого) вы можете общаться на занятиях? Если для вас предпочтителен вариант ""только на украинском"", пожалуйста, имейте в виду, что в связи с ограниченным ресурсом движения подбор украиноязычного преподавателя может занять большее количество времени.",
ask_class_communication_language_teacher,"What language (apart from the language you teach) can you communicate in with students during classes? Please note that we are asking about your ability to speak Ukrainian or Russian fluently enough, not about your style of teaching","На каком языке (помимо того, который вы преподаёте) вы можете общаться со студентами на занятиях? Обратите внимание: мы спрашиваем о том, знаете ли вы украинский или русский достаточно хорошо, а не о стиле вашего преподавания.",
class_communication_language_option_ru,In Russian only,только на русском,
class_communication_language_option_ua,In Ukrainian only,"только на украинском",
class_communication_language_option_ru_ua,In Ukrainian or Russian,на украинском или русском,
class_communication_language_option_l2_only,Only in the language I teach,только на изучаемом языке,
ask_student_start_assessment,"OK, now we're ready to begin your our placement test\! It will take around 15 minutes\. Please note that *you will not be able to change your answers*, so pay attention\! This test will help our coordinators and teachers pick the most suitable group for you\. Please press the button to proceed\.","Давайте пройдем тест на уровень владения английским\! Оно займёт около 15 минут и поможет подобрать для вас наиболее подходящую группу\. Пожалуйста, учтите, что после того как вы выбрали вариант ответа, *вы не сможете изменить его*\. Нажмите кнопку, чтобы продолжить\.",
assessment_option_start,Let's start!,Начинаем!,
assessment_option_dont_know,I don't know,Я не знаю.,
assessment_option_abort,This is too hard 😖 Let's finish,Слишком сложно 😖 Давайте закончим,
ask_student_start_oral_test,"Well done! To get more accurate results and find you a more suitable group for you, we would like to ask you to take a speaking test. It will take around 15 minutes, you will need to go to our partner's website. Are you willing to take the test and increase your chances of getting the right group for you?","Well done! Чтобы ещё точнее определить ваш уровень английского, пройдите устный тест. Он займет еще 15 минут, зато мы сможем более точно и быстро подобрать вам группу.",
give_smalltalk_url,Please follow the link below and come back to me when you have finished the test\. The same link was sent to your email address\.,"Пожалуйста, пройдите по ссылке ниже и вернитесь ко мне, когда закончите тест\. Эта же ссылка отправлена вам на электронную почту\.",
give_smalltalk_url_link,➡️ Click or tap here to open the link ⬅️,➡️ Нажмите здесь для перехода к устному тесту ⬅️,
answer_smalltalk_done,I'm done there! 😎,Я закончил устный тест! 😎,
ask_teacher_experience,Do you have teaching experience?,У вас есть опыт преподавания?,
ask_teacher_group_speaking_club,Can you give regular classes or host speaking clubs?,вы можете вести обычные занятия или проводить разговорные клубы?,
option_teach_group,Only regular classes,Только обычные занятия,
option_teach_speaking_club,Only speaking club,Только разговорные клубы,
option_teach_both,Both! 💪,"И то, и то! 💪",
ask_teacher_number_of_groups,How many groups would you like to teach?,Сколько групп вы бы хотели взять?,
option_number_of_groups_1,One for now,Для начала одну,
option_number_of_groups_2,I can take two right away!,Могу взять сразу две!,
ask_teacher_frequency,How often do you intend to teach one group? Choose the most preferable option.,С какой периодичностью вы хотели бы заниматься с одной группой? Выберите один вариант.,
option_frequency_1,Once a week,Один раз в неделю,
option_frequency_2,Twice a week,Два раза в неделю,
option_frequency_3,Three times a week,Три раза в неделю,
ask_teacher_student_age_groups,What age groups would you like to teach?,Ученикам каких возрастов вы бы хотели преподавать? Выберите все подходящие варианты.,
option_young_children,Young children (5 to 8 years old),Дети младшего возраста (от 5 до 8 лет),
option_older_children,Older children (9 to 12 years old),Дети постарше (от 9 до 12 лет),
option_adolescents,Adolescents (13 to 17 years old),Подростки (от 13 до 17 лет),
option_adults,Adults (18 to 65 years old),Взрослые (от 18 до 65 лет),
option_seniors,Seniors (66 and older),Пожилые (66 лет и старше),
ask_non_teaching_help_student,What additional help do you require? Please note that we only provide additional help once you have started to take group classes,"Какая дополнительная помощь может вам понадобиться? Дополнительные виды поддержки будут доступны вам после того, как вы начнёте заниматься в группе.",
ask_non_teaching_help_teacher,What additional help can you provide to our students?,Какую дополнительную помощь вы могли бы оказывать нашим студентам?,
option_non_teaching_help_cv_write_edit,Help prepare or edit a CV,Помощь с резюме,
option_non_teaching_help_cv_proofread,Proofread a CV,Вычитка резюме,
option_non_teaching_help_mock_interview,Mock interview,Репетиция собеседования,
option_non_teaching_help_job_search,Give job search advice,Советы по трудоустройству,
option_non_teaching_help_career_strategy,Career strategy,Карьерная стратегия,
option_non_teaching_help_linkedin,LinkedIn profile,Оформление профиля в LinkedIn,
option_non_teaching_help_career_switch,Career switch,Профессиональная переориентация,
option_non_teaching_help_portfolio,Help make a creative portfolio,Портфолио для креативных профессий,
option_non_teaching_help_uni_abroad,Advice on college admission outside Ukraine,Поступление в вуз за рубежом,
option_non_teaching_help_translate_docs,Translate documents,Перевод документов,
option_non_teaching_help_done,Next question ➡️,Следующий вопрос ➡️,
option_non_teaching_help_none_student,I don't need any of these,Не нужно ничего из перечисленного,
option_non_teaching_help_none_teacher,I can't help with any of this,Не могу помочь ни с чем из перечисленного,
ask_teacher_peer_help,How could you help less experienced teachers in their work?,Как вы могли бы помогать менее опытным коллегам?,
option_teacher_peer_help_can_host_mentoring_sessions,Give one-on-one/group consultations,Консультировать индивидуально или в группе,
option_teacher_peer_help_can_help_with_children_group,Help with teaching children,Помочь с детской группой,
option_teacher_peer_help_can_provide_materials,Help with teaching materials,Помочь с материалами,
option_teacher_peer_help_can_check_syllabus,Check the syllabus,Проверить программу,
option_teacher_peer_help_can_give_feedback,Give feedback on a class,Дать фидбэк по уроку,
option_teacher_peer_help_can_invite_to_class,Invite to my class,Пригласить на свой урок,
option_teacher_peer_help_can_work_in_tandem,Co-teaching,Поработать в тандеме,
ask_teacher_peer_help_done,Next question ➡️,Следующий вопрос ➡️,
ask_teacher_any_additional_help,Do you have any other skills that you think could help us or our students?,Хотите ли бы вы помочь Samantha или нашим студентам как-то еще? ,
ask_teacher_student_age_groups_done,Done 😊,Готово 😊,
ask_review,Now let's quickly review your basic information.,Давайте проверим ваши основные данные.,
review_first_name,Your first name,Ваше имя,
review_last_name,Your last name,Ваша фамилия,
review_username,You allowed to store your Telegram username,Вы разрешили нам сохранить свой ник в Telegram,
review_phone_number,Your phone number,Ваш номер телефона,
review_email,Your email address,Ваш адрес электронной почты,
review_student_age_group,Your age group,Ваша возрастная группа,
review_timezone,Your timezone,Ваш часовой пояс,
review_availability,Your availability slots,Ваши дни и часы доступности,
review_languages_levels,Your language(s) and level(s),Вы выбрали язык(и) и уровень/уровни,
review_communication_language,Your preferred language(s) of communication in class,Язык(и) общения в группе,
review_reaction_yes,Everything is correct 👍,Всё верно 👍,
review_reaction_no,I need to make corrections,Нужно кое-что поправить.,
review_ask_category,What information do you wish to change?,Какую информацию нужно исправить?,
review_option_first_name,First name,Имя,
review_option_last_name,Last name,Фамилию,
review_option_email,Email address,Адрес электронной почты,
review_option_phone_number,Phone number,Номер телефона,
review_option_student_age_group,Age group,Возрастную группу,
review_option_timezone,Timezone,Часовой пояс,
review_option_availability,Availability slots,Дни и часы доступности,
review_option_language_and_level,Language(s) and level(s),Язык(и) и уровень/уровни,
review_option_class_communication_language,Language(s) of communication in class,Язык(и) общения на занятиях,
current_time,your current time is,сейчас у вас,
ask_final_comment,Is there anything else you want to tell us as a final comment?,"Хотите ли вы сообщить мне еще что-то важное, что я не спросил?",
processing_wait,Processing data. This may take a few minutes...,Обрабатываю данные. Это может занять несколько минут...,
young_teacher_we_will_email_you,"Thank you! When we need your help, we will email you at","Спасибо! Когда нам понадобится ваша помощь, мы напишем на указанный вами адрес электронной почты:",
bye_go_to_chat_with_coordinator,Thank you! Please proceed to the chat with our coordinators so they can arrange an interview with the teacher (LINK HERE),"Спасибо! Пожалуйста, перейдите в чат с координатором, который назначит вам устное интервью с преподавателем (LINK HERE)",
bye_wait_for_message_from_bot,Thank you! I will message you here as soon as a group becomes available.,"Спасибо! Как только появится подходящая для вас группа, я напишу вам в этом чате.",
bye_wait_for_message_from_coordinator,Thank you! Our coordinator will contact you on Telegram or by email when they can find a role for you 😊,"Спасибо! Наш координатор свяжется с вами в Telegram или по электронной почте, когда для вас найдётся подходящая задача 😊",
bye_cancel,You canceled the registration process. Enter /start to start again.,"Вы прервали регистрацию. Введите /start, чтобы начать заново.",
message_fallback,"Sorry, I don't understand this answer. If you were given some buttons, please press one of them. If you got confused, you can restart the registration process by entering /start","Простите, я не понял этот ответ. Если я только что показал вам кнопки, нажмите одну из них. Если вы запутались, команда /start поможет начать процесс регистрации заново.",
